iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2020-02-24,1.0,1.0,,,,,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-02-25,1.0,0.0,,,,,0.026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-02-26,1.0,0.0,,,,,0.026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-02-27,1.0,0.0,,,,,0.026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-02-28,1.0,0.0,,,,,0.026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-02-29,1.0,0.0,0.143,,,0.0,0.026,0.0,0.004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-01,1.0,0.0,0.143,,,0.0,0.026,0.0,0.004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-02,1.0,0.0,0.0,,,0.0,0.026,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-03,2.0,1.0,0.143,,,0.0,0.051,0.026,0.004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-04,4.0,2.0,0.429,,,0.0,0.103,0.051,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-05,4.0,0.0,0.429,,,0.0,0.103,0.0,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-06,4.0,0.0,0.429,,,0.0,0.103,0.0,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-07,4.0,0.0,0.429,,,0.0,0.103,0.0,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-08,5.0,1.0,0.571,,,0.0,0.128,0.026,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-09,7.0,2.0,0.857,,,0.0,0.18,0.051,0.022,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-10,8.0,1.0,0.857,,,0.0,0.206,0.026,0.022,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-11,11.0,3.0,1.0,,,0.0,0.283,0.077,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-12,12.0,1.0,1.143,,,0.0,0.308,0.026,0.029,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-13,13.0,1.0,1.286,,,0.0,0.334,0.026,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-14,15.0,2.0,1.571,,,0.0,0.385,0.051,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-15,16.0,1.0,1.571,,,0.0,0.411,0.026,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-16,18.0,2.0,1.571,,,0.0,0.462,0.051,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-17,20.0,2.0,1.714,,,0.0,0.514,0.051,0.044,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,38.89,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-18,24.0,4.0,1.857,,,0.0,0.617,0.103,0.048,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-19,25.0,1.0,1.857,,,0.0,0.642,0.026,0.048,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-20,29.0,4.0,2.286,,,0.0,0.745,0.103,0.059,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-21,30.0,1.0,2.143,,,0.0,0.771,0.026,0.055,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-22,34.0,4.0,2.571,1.0,1.0,0.143,0.873,0.103,0.066,0.026,0.026,0.004,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-23,41.0,7.0,3.286,1.0,0.0,0.143,1.053,0.18,0.084,0.026,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-24,43.0,2.0,3.286,1.0,0.0,0.143,1.105,0.051,0.084,0.026,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,50.93,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-25,76.0,33.0,7.429,2.0,1.0,0.286,1.952,0.848,0.191,0.051,0.026,0.007,,,,,,,,,,,,,,,,,,,,,,,,59.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-26,80.0,4.0,7.857,3.0,1.0,0.429,2.055,0.103,0.202,0.077,0.026,0.011,,,,,,,,,,,,,,,,,,,,,,,,59.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-27,91.0,11.0,8.857,3.0,0.0,0.429,2.338,0.283,0.228,0.077,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,59.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-28,107.0,16.0,11.0,4.0,1.0,0.571,2.749,0.411,0.283,0.103,0.026,0.015,,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-29,118.0,11.0,12.0,4.0,0.0,0.429,3.031,0.283,0.308,0.103,0.0,0.011,1.44,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-30,146.0,28.0,15.0,4.0,0.0,0.429,3.75,0.719,0.385,0.103,0.0,0.011,1.45,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-31,175.0,29.0,18.857,4.0,0.0,0.429,4.495,0.745,0.484,0.103,0.0,0.011,1.46,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-01,197.0,22.0,17.286,4.0,0.0,0.286,5.061,0.565,0.444,0.103,0.0,0.007,1.46,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-02,240.0,43.0,22.857,4.0,0.0,0.143,6.165,1.105,0.587,0.103,0.0,0.004,1.46,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-03,275.0,35.0,26.286,8.0,4.0,0.714,7.064,0.899,0.675,0.206,0.103,0.018,1.45,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-04,300.0,25.0,27.571,10.0,2.0,0.857,7.706,0.642,0.708,0.257,0.051,0.022,1.43,,,,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-05,338.0,38.0,31.429,12.0,2.0,1.143,8.683,0.976,0.807,0.308,0.051,0.029,1.43,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-06,368.0,30.0,31.714,15.0,3.0,1.571,9.453,0.771,0.815,0.385,0.077,0.04,1.42,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-07,424.0,56.0,35.571,16.0,1.0,1.714,10.892,1.439,0.914,0.411,0.026,0.044,1.41,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-08,445.0,21.0,35.429,16.0,0.0,1.714,11.431,0.539,0.91,0.411,0.0,0.044,1.39,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-09,485.0,40.0,35.0,17.0,1.0,1.857,12.459,1.028,0.899,0.437,0.026,0.048,1.39,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-10,532.0,47.0,36.714,18.0,1.0,1.429,13.666,1.207,0.943,0.462,0.026,0.037,1.39,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-11,556.0,24.0,36.571,18.0,0.0,1.143,14.283,0.617,0.939,0.462,0.0,0.029,1.38,,,,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-12,608.0,52.0,38.571,19.0,1.0,1.0,15.618,1.336,0.991,0.488,0.026,0.026,1.39,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-13,666.0,58.0,42.571,22.0,3.0,1.0,17.108,1.49,1.094,0.565,0.077,0.026,1.39,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-14,715.0,49.0,41.571,23.0,1.0,1.0,18.367,1.259,1.068,0.591,0.026,0.026,1.39,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-15,785.0,70.0,48.571,29.0,6.0,1.857,20.165,1.798,1.248,0.745,0.154,0.048,1.39,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-16,841.0,56.0,50.857,30.0,1.0,1.857,21.604,1.439,1.306,0.771,0.026,0.048,1.38,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-17,907.0,66.0,53.571,30.0,0.0,1.714,23.299,1.695,1.376,0.771,0.0,0.044,1.37,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-18,934.0,27.0,54.0,30.0,0.0,1.714,23.993,0.694,1.387,0.771,0.0,0.044,1.37,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-19,997.0,63.0,55.571,33.0,3.0,2.0,25.611,1.618,1.428,0.848,0.077,0.051,1.38,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-20,1027.0,30.0,51.571,36.0,3.0,2.0,26.382,0.771,1.325,0.925,0.077,0.051,1.39,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-21,1093.0,66.0,54.0,36.0,0.0,1.857,28.077,1.695,1.387,0.925,0.0,0.048,1.41,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-22,1177.0,84.0,56.0,40.0,4.0,1.571,30.235,2.158,1.439,1.028,0.103,0.04,1.44,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-23,1236.0,59.0,56.429,40.0,0.0,1.429,31.751,1.516,1.45,1.028,0.0,0.037,1.46,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-24,1331.0,95.0,60.571,43.0,3.0,1.857,34.191,2.44,1.556,1.105,0.077,0.048,1.48,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-25,1464.0,133.0,75.714,47.0,4.0,2.429,37.608,3.417,1.945,1.207,0.103,0.062,1.5,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-26,1532.0,68.0,76.429,52.0,5.0,2.714,39.354,1.747,1.963,1.336,0.128,0.07,1.51,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-27,1704.0,172.0,96.714,58.0,6.0,3.143,43.773,4.418,2.484,1.49,0.154,0.081,1.52,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-28,1830.0,126.0,105.286,59.0,1.0,3.286,47.009,3.237,2.705,1.516,0.026,0.084,1.52,,,,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
